,*,0,1,2,3,4
0,start,0,71,63,116,0
1,10,13,74,65,126,13
2,15,21,71,70,128,22
3,20,28,69,73,131,37
4,25,36,70,77,129,46
5,30,45,68,78,132,56
6,35,52,67,80,134,65
7,40,60,65,84,140,74
8,45,69,67,88,138,81
9,50,77,67,92,137,89
