,*,0,1,2,3,4
0,start,0,54,78,118,0
1,10,12,68,84,127,10
2,15,20,76,85,129,15
3,20,32,83,85,132,20
4,25,40,87,91,133,28
5,30,57,92,94,134,35
6,35,64,94,99,139,46
7,40,72,94,103,144,51
8,45,76,96,105,150,59
9,50,84,101,111,149,63
