,*,0,1,2,3,4
0,start,0,71,63,116,0
1,10,13,74,65,126,13
2,15,21,72,70,127,21
3,20,29,69,73,130,37
4,25,35,68,77,129,47
5,30,44,67,80,130,57
6,35,52,64,80,134,67
7,40,62,66,82,141,74
8,45,69,67,88,138,81
9,50,75,68,96,137,89
