,*,0,1,2,3,4
0,start,0,71,63,116,0
1,10,13,80,69,127,13
2,15,21,85,76,134,21
3,20,29,89,82,138,37
4,25,35,93,86,141,47
5,30,44,95,90,142,57
6,35,52,100,94,146,67
7,40,62,104,95,149,74
8,45,69,106,100,150,81
9,50,75,112,105,154,89
