,*,0,1,2,3,4
0,start,0,71,63,116,0
1,10,11,79,69,125,13
2,15,19,82,76,133,18
3,20,27,84,81,136,28
4,25,33,88,86,139,41
5,30,41,91,90,142,51
6,35,47,93,94,146,61
7,40,54,97,95,150,70
8,45,62,103,100,152,77
9,50,71,108,104,153,84
